CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Pollutant_Level
2.7,1065.25,-200,13.6360912250898,1104.75,207.0,722.75,162.0,1672.0,986.5,26.550000190735,30.200000286102,1.03303382224285,High
4.6,1352.0,-200,16.3798613997028,1191.25,658.0,570.0,169.0,1362.0,1796.0,11.575000047684,51.175000190735,0.696517469976852,High
-200.0,989.5,-200,9.06172742475776,941.75,-200.0,775.5,-200.0,1359.0,986.0,20.35000038147,42.175000190735,0.996353552544488,Normal
1.5,868.75,-200,7.94707815187808,897.0,104.0,965.25,106.0,1479.75,649.25,29.574999809265,20.97500038147,0.854768332363415,High
-200.0,913.75,-200,10.4276775923496,993.5,113.0,872.0,91.0,1481.0,763.0,34.22500038147,15.799999952316,0.837085302595295,Mid
4.2,1528.5,589,21.2482110157762,1330.75,211.0,700.25,132.0,2028.25,1398.75,22.849999904633,32.074999809265,0.881361148444914,High
1.3,1009.25,-200,6.28093363251884,824.75,-200.0,950.0,-200.0,1628.5,937.75,15.650000095367,73.075000762939,1.29023052088818,Normal
1.4,1009.75,-200,4.76531915807907,751.5,205.8,739.5,126.6,1218.0,931.5,14.575000047684,67.299999237061,1.11021822812244,High
1.4,1022.0,-200,8.00162898062799,899.25,100.0,845.75,97.0,1588.0,820.0,23.449999809265,43.150000572205,1.22900673782851,Mid
1.4,976.75,-200,6.61306904881944,839.75,-200.0,827.0,-200.0,1390.0,735.75,29.200000286102,29.050000190735,1.15864115951549,Normal
0.7,957.75,-200,2.23267641921423,601.0,95.7,947.25,78.5,1054.0,659.25,12.950000047684,61.224999427795,0.910542222544117,Mid
-200.0,997.0,-200,6.23720105529812,822.75,-200.0,804.25,-200.0,1395.0,893.5,18.075000286102,68.47500038147,1.4066576791433,Normal
4.9,1604.75,-200,24.4754252928145,1415.75,1099.4,435.75,239.5,1614.25,1941.0,5.2999999523163,77.424999237061,0.695407046736589,High
1.1,928.0,-200,3.7949708199494,699.25,-200.0,1930.25,-200.0,1197.75,784.75,11.875,78.22500038147,1.08555243265966,Normal
2.2,969.25,-200,12.4111113914744,1063.75,132.0,834.0,124.0,1645.25,816.0,30.075000286102,19.275000095367,0.808282309762746,High
5.2,1340.5,-200,16.7939801990266,1203.75,625.7,534.0,250.8,1294.25,1592.0,5.875,44.300000190735,0.413657623060522,High
0.9,938.5,-200,4.89749022173958,758.25,40.0,858.25,47.0,1543.5,663.75,26.674999713898,49.474999427795,1.70477036773545,Normal
0.9,932.5,-200,3.81708048302603,700.5,57.0,906.0,62.0,1638.0,689.5,25.89999961853,64.52499961853,2.12469097073247,Mid
2.0,1019.5,-200,11.7813229735719,1042.0,251.0,788.0,112.0,1400.5,926.75,24.22500038147,27.249999523163,0.812791287004218,High
1.6,989.5,-200,9.4231828476455,955.75,216.0,871.75,82.0,1476.0,825.75,23.625,43.199999809265,1.24334402451244,Mid
2.6,694.75,-200,4.00495801135597,711.0,204.0,1193.0,110.0,738.5,644.75,12.849999904633,14.750000238419,0.217959608433878,High
2.5,1274.25,-200,13.3177005133789,1094.25,160.0,770.5,126.0,1682.25,1230.5,20.5,35.925000190735,0.856494168600568,High
2.7,1179.25,-200,15.1321956544686,1152.75,172.0,654.0,-200.0,1876.5,1096.0,27.000000476837,35.300000190735,1.23962682606737,Normal
2.9,1196.75,-200,9.6258607183171,963.5,490.6,613.75,254.4,1259.75,1121.5,3.75,84.275001525879,0.681092680302189,High
0.1,870.0,-200,3.52965813825481,684.0,-200.0,997.25,-200.0,895.25,936.25,3.7249999642372,56.325000762939,0.454427826232675,Normal
1.0,884.0,-200,5.00135389693943,763.5,110.0,920.75,75.0,1246.5,900.0,14.850000143051,58.925000190735,0.989148974600146,Mid
-200.0,1008.25,-200,9.73118732339548,967.5,-200.0,783.0,-200.0,1348.25,999.5,17.27499961853,50.324999809265,0.983712657569686,Normal
1.4,920.25,-200,5.38497587514909,782.5,74.0,1045.75,70.0,1550.0,588.0,24.549999713898,38.375,1.16689915444867,Mid
2.6,1186.0,-200,15.3158550496017,1158.5,295.0,639.75,141.0,1700.5,1045.75,30.174999713898,32.874999523163,1.38648110200797,High
1.3,1058.5,-200,5.73840986160706,799.5,66.0,740.0,62.0,1603.75,739.25,27.549999713898,50.425001144409,1.82835142869961,Mid
2.0,1027.0,-200,7.71253264627595,887.25,133.0,926.5,97.0,1568.25,875.75,13.350000143051,64.649998664856,0.986437490183887,Mid
-200.0,1163.25,-200,17.575932080294,1227.0,144.0,658.5,129.0,1930.5,1128.5,32.974999427795,28.174999713898,1.39213351633596,High
2.1,1044.25,-200,9.01058355260027,939.75,427.6,706.0,205.7,1014.25,1151.75,8.875,33.75,0.384999978688392,High
-200.0,1298.25,-200,17.1536420684571,1214.5,253.0,539.25,185.0,2068.0,1404.25,29.074999809265,45.450000762939,1.79976993145217,High
1.7,1143.25,-200,10.0367184726305,979.0,109.0,677.25,79.0,1829.0,1156.0,26.60000038147,50.775000572205,1.74191458939334,Mid
-200.0,843.75,-200,2.33582400211631,608.25,-200.0,1212.75,-200.0,1313.5,803.0,14.125,53.85000038147,0.863301301195227,Normal
-200.0,1023.5,-200,3.09232653483169,657.75,-200.0,1175.0,-200.0,1417.0,681.75,13.450000047684,63.875,0.980865681754038,Normal
0.9,889.5,-200,6.4129120527581,830.75,93.0,922.0,67.0,1594.25,825.75,17.75,56.5,1.13751087688372,Mid
3.7,1333.25,-200,20.5444863472203,1311.5,383.0,520.25,107.0,1853.0,1364.25,23.799999713898,51.425000190735,1.49558333744607,High
1.8,1279.25,-200,7.29909262576145,869.75,106.0,911.25,81.0,1646.25,1000.0,18.874999523163,49.574999809265,1.06997272859577,Mid
1.5,1017.75,-200,10.3733737920879,991.5,102.0,839.25,96.0,1710.0,1103.25,24.700000286102,39.325000762939,1.20645663545584,Mid
0.7,848.0,-200,1.68726899780876,560.0,62.0,1206.25,44.0,1045.25,644.0,8.9000000953674,77.050001144409,0.880392603945233,Normal
0.6,928.25,-200,2.66848446692883,630.75,148.2,985.0,89.0,907.75,884.0,4.5249998569489,56.324999809265,0.479952077268645,Mid
0.3,881.75,-200,2.15228594945215,595.25,-200.0,1096.5,-200.0,1462.75,406.25,25.525000095367,62.824999809265,2.02360294924897,Normal
1.0,984.25,-200,5.8176597475669,803.25,211.2,812.75,141.7,1012.0,772.25,4.3000000715256,56.724999427795,0.476003478582305,High
1.0,920.5,-200,3.22299346067285,665.75,-200.0,953.5,-200.0,1288.25,480.25,24.825000286102,40.050000190735,1.23782015976716,Normal
4.4,1377.0,-200,21.6641484519249,1342.0,786.0,499.0,206.0,1545.5,2005.5,12.875000238419,54.074999809265,0.80034555324374,High
2.3,958.75,-200,8.5996254884063,923.5,316.0,899.0,137.0,993.25,897.25,8.7750000953674,35.675000190735,0.404280155025254,High
0.7,867.75,-200,1.77257018520136,566.75,91.0,1238.0,64.0,918.75,823.0,6.4000000953674,63.300000190735,0.612339099797037,Mid
3.1,1169.5,-200,18.598533147281,1256.75,185.0,693.0,180.0,1956.0,1069.25,35.625,23.424999713898,1.34100989678539,High
-200.0,1098.5,-200,11.939258220185,1047.5,-200.0,656.75,-200.0,1710.75,779.0,33.049999713898,29.450000286102,1.461258318642,Normal
2.4,1252.5,263,11.3199460865874,1025.75,128.0,809.5,103.0,1681.0,1047.5,15.200000047684,52.949999809265,0.908741204365689,High
-200.0,1236.5,-200,20.8174630883121,1319.0,-200.0,575.5,-200.0,1740.75,1270.5,13.300000190735,70.424999237061,1.07112062983897,Normal
-200.0,853.75,-200,0.829014438924321,481.25,17.0,1755.5,27.0,1304.0,396.25,16.100000143051,55.900000572205,1.0153041309359,Normal
1.6,999.75,-200,8.46860567047722,918.25,68.0,881.25,67.0,1660.5,802.25,17.5,63.900001525879,1.26667283645323,Mid
3.6,1286.0,-200,17.4318623172955,1222.75,573.2,529.25,210.0,1350.0,1348.25,27.900000095367,15.625000238419,0.57816423770219,High
2.5,1106.0,-200,7.80839401912836,891.25,319.6,707.75,191.1,1057.5,1024.75,7.4000000953674,46.925000190735,0.485370621823573,High
0.8,868.0,-200,4.46767174927989,736.0,32.0,893.5,39.0,1548.0,637.5,24.925000190735,57.324999809265,1.78224247562447,Normal
0.4,823.5,-200,3.12477702038371,659.75,36.0,1032.5,46.0,1341.5,618.0,21.425000667572,45.574999809265,1.14932290929234,Normal
1.6,987.75,-200,7.04995174513952,859.0,-200.0,844.75,-200.0,1341.25,799.25,27.125,26.925000190735,0.952434155065443,Normal
-200.0,771.25,-200,0.288907357761239,410.25,-200.0,1621.5,-200.0,765.0,282.75,2.9750000238419,57.724999427795,0.442336754255232,Normal
1.0,951.25,-200,2.5034923538874,619.75,-200.0,937.75,-200.0,1076.5,779.0,7.9250001907349,75.14999961853,0.804975743032401,Normal
0.7,828.25,-200,1.15196305461444,513.75,-200.0,1204.75,-200.0,880.0,434.25,8.075000166893,53.075000762939,0.574211464369085,Normal
0.6,876.75,-200,3.09232653483169,657.75,41.0,1047.25,46.0,1530.25,778.5,21.150000572205,60.85000038147,1.50918188461405,Normal
1.7,-200.0,-200,-200.0,-200.0,393.6,-200.0,230.5,-200.0,-200.0,-200.0,-200.0,-200.0,High
4.4,1468.25,-200,19.9852104054861,1296.0,414.0,528.5,142.0,1853.5,1590.0,22.64999961853,59.5,1.61545450952753,High
3.9,1171.75,-200,15.3158550496017,1158.5,580.0,621.25,193.0,1460.75,1242.75,10.25,71.10000038147,0.887754538135428,High
1.4,1156.75,51,6.38532009007916,829.5,138.0,1029.5,80.0,1584.0,1083.0,11.375,70.52499961853,0.94751622433819,Mid
0.8,869.0,68,2.83794485048949,641.75,69.0,1290.75,62.0,1287.5,723.25,8.0750000476837,72.074998855591,0.779769942812006,Mid
3.4,1403.5,-200,15.0049901065747,1148.75,581.0,468.75,114.9,1522.75,1614.25,16.124999761581,46.375,0.843625462701613,High
0.7,932.75,-200,5.4569580235555,786.0,144.0,1017.5,73.0,1306.25,858.25,22.300000190735,43.75,1.16311403380369,Mid
-200.0,1512.75,-200,27.0325715844977,1479.75,-200.0,572.25,-200.0,2248.75,1594.5,11.75,65.999998092651,0.908528104784097,Normal
0.9,899.5,-200,1.96850807731371,581.75,107.3,1080.5,84.6,791.75,376.75,11.199999809265,33.800000190735,0.448979990999503,Mid
2.6,1146.5,-200,15.6132866946744,1167.75,417.0,857.5,165.0,1491.5,1118.0,33.325000762939,18.925000190735,0.953587601798627,High
4.8,1675.75,790,28.89504382424,1524.75,223.0,567.25,160.0,2226.0,1652.5,24.324999809265,37.324999809265,1.11992880886422,High
2.1,1109.5,-200,9.2417017512885,948.75,96.0,849.5,79.0,1733.0,841.5,15.899999856949,70.650001525879,1.26718742012762,Mid
3.7,1382.0,588,19.6991301861703,1288.0,185.0,777.75,138.0,1799.0,1212.25,26.875,22.349999904633,0.77916266603829,High
2.0,1037.25,165,8.67487867399047,926.5,122.0,949.0,111.0,1425.5,739.5,18.25,31.599999427795,0.656215519767395,High
2.8,1170.75,-200,10.7629215296958,1005.75,156.0,834.75,112.0,1673.75,988.25,18.974999904633,51.675000190735,1.12218361151918,High
1.9,992.0,-200,9.10016628828923,943.25,325.0,846.5,103.0,1351.0,936.25,22.22500038147,33.575000762939,0.888587642394125,High
-200.0,1356.25,-200,21.257416705905,1331.0,-200.0,520.25,-200.0,1925.0,1642.75,23.27499961853,53.0,1.49385987663367,Normal
1.0,1000.75,-200,3.3727404908532,674.75,105.2,777.75,67.8,1260.25,861.25,15.875000476837,65.075000762939,1.16536075329954,Mid
-200.0,785.25,-200,1.05802335053362,504.75,-200.0,1225.5,-200.0,828.5,427.5,8.6500000953674,45.625,0.512782078078939,Normal
3.4,1323.5,-200,15.6213592195707,1168.0,375.0,568.25,99.0,1715.5,1958.5,21.75,62.950000762939,1.61898727984793,Mid
-200.0,1049.5,-200,9.60616640246024,962.75,-200.0,998.25,-200.0,1609.0,901.0,24.25,35.074999809265,1.04774329359725,Normal
1.7,1191.5,-200,10.7010072320946,1003.5,159.0,665.25,91.0,1577.0,1175.75,21.050000190735,64.725001335144,1.59558158394543,Mid
0.1,880.0,-200,2.94412663039611,648.5,33.0,1022.0,50.0,1373.5,738.5,22.200000286102,42.825000762939,1.13169151156353,Normal
1.4,1000.5,-200,5.71209627114823,798.25,266.0,854.75,113.0,1257.0,793.75,13.974999904633,66.050001144409,1.04882248373216,High
1.6,1119.75,-200,6.10137743513052,816.5,231.9,669.0,119.9,1310.25,1049.5,15.200000047684,65.775000572205,1.12884709069783,High
3.3,1321.5,-200,17.3051620004283,1219.0,574.0,682.0,130.0,1590.75,1471.5,14.475000143051,61.050000190735,1.00074419507509,High
6.9,1633.0,-200,35.5838930602639,1677.0,1018.0,399.5,217.0,1879.5,2188.0,11.700000047684,60.750000953674,0.833557485185216,High
4.3,1317.75,-200,24.6320669441479,1419.75,311.0,586.25,166.0,2316.25,1639.5,25.85000038147,44.300000190735,1.45444142469943,High
1.8,1045.25,-200,8.27060796502395,910.25,193.0,877.5,106.0,1385.0,741.75,34.625,22.375,1.21204368065925,High
2.6,1187.0,-200,9.5537323237257,960.75,497.0,684.75,115.0,1407.75,1017.0,11.924999952316,88.72500038147,1.23524951483802,High
0.8,899.0,-200,1.84015168461932,572.0,97.7,1063.25,87.0,951.0,559.5,3.9000000357628,78.749998092651,0.643009767210863,Mid
1.5,941.5,-200,5.46211519268924,786.25,-200.0,930.25,-200.0,1245.25,704.75,27.849999904633,24.400000095367,0.900248983346887,Normal
5.1,1588.75,-200,24.1148246526172,1406.5,932.0,555.5,203.0,1756.5,1971.5,15.75,57.925000190735,1.02919584343372,High
2.5,1136.0,353,13.1597091592774,1089.0,127.0,855.5,101.0,1551.5,928.0,20.550000667572,24.800000190735,0.593063940315115,High
1.5,1097.75,101,4.67806289427276,747.0,80.0,1094.0,91.0,1360.0,763.75,14.850000143051,43.500000953674,0.730216057686113,Mid
4.4,1460.0,-200,25.0156641731812,1429.5,524.0,466.0,125.0,1931.75,1603.75,23.025000095367,49.049999237061,1.36200517411463,High
1.7,1117.75,-200,8.38173596962346,914.75,393.0,730.75,95.0,1289.25,1059.25,9.2749998569489,76.89999961853,0.900672502804626,Mid
-200.0,1129.0,-200,13.7047346900884,1107.0,-200.0,843.5,-200.0,1742.0,940.25,25.875,26.900000095367,0.884468701753994,Normal
0.8,910.5,-200,4.75559008085243,751.0,48.0,1035.75,46.0,1518.0,816.5,14.299999952316,66.174999237061,1.07276335866805,Normal
1.9,995.75,-200,7.83845417748981,892.5,391.0,808.0,175.0,1237.25,894.75,9.4500000476837,70.02499961853,0.829649115256495,High
2.8,1483.5,131,11.8601785184833,1044.75,174.0,879.75,119.0,1624.25,1529.75,14.649999856949,51.5,0.853623132679122,High
4.0,1291.0,-200,25.1836635402822,1433.75,306.0,526.25,151.0,2238.75,1493.5,22.89999961853,47.925000190735,1.3208412442597,High
1.2,-200.0,-200,-200.0,-200.0,56.0,-200.0,68.0,-200.0,-200.0,-200.0,-200.0,-200.0,Mid
1.5,987.0,-200,5.96683078514395,810.25,199.4,801.25,137.0,939.25,829.75,8.4500000476837,36.299999237061,0.402613542453024,High
2.9,1276.25,-200,18.0454985099431,1240.75,274.0,641.5,171.0,2024.25,1784.25,34.224999427795,30.675000190735,1.62516395779935,High
-200.0,847.25,-200,1.02494083337826,501.5,-200.0,1198.0,-200.0,1020.0,508.0,8.9999997615814,75.825000762939,0.872131752307526,Normal
6.3,1672.75,-200,34.0163571657262,1642.5,572.0,435.75,182.0,2259.25,1780.5,24.599999904633,49.974999427795,1.52413760986967,High
0.8,792.25,-200,1.9785341719389,582.5,105.0,1972.0,66.0,946.25,517.25,12.274999856949,48.675001144409,0.693146511842834,Mid
-200.0,928.75,-200,7.42210445259497,875.0,-200.0,826.25,-200.0,1364.75,813.5,18.89999961853,50.550000190735,1.09269682850443,Normal
-200.0,1455.5,-200,23.4196675179943,1388.5,-200.0,443.25,-200.0,1808.25,1504.0,9.125,77.14999961853,0.894715969492533,Normal
2.3,1285.75,-200,9.05532769248143,941.5,343.0,687.25,137.0,1362.0,1103.25,13.525000095367,67.125000953674,1.03572592137554,High
-200.0,1299.75,-200,12.0980892174799,1053.0,-200.0,614.25,-200.0,1650.25,1192.5,25.175000190735,48.925000190735,1.54370845267772,Normal
0.5,903.25,-200,3.06405091439911,656.0,38.0,1155.25,37.0,1361.25,618.0,17.025000095367,44.64999961853,0.859291134404776,Normal
2.1,1155.25,-200,10.9357039595264,1012.0,243.0,632.75,66.0,1576.5,1124.25,19.449999809265,71.375,1.59589169258401,Mid
0.7,842.75,-200,2.53315669154887,621.75,-200.0,1145.5,-200.0,1060.25,554.5,6.9249999523163,82.275001525879,0.824421988747925,Normal
2.2,1213.75,-200,10.8802859628418,1010.0,256.3,608.75,164.1,1281.75,1005.5,5.0999999046326,74.999998092651,0.664556121108712,High
1.7,1024.75,-200,9.3971648895816,954.75,111.0,997.25,94.0,1456.5,833.75,25.599999904633,23.525000095367,0.761095850044133,Mid
1.9,1010.0,-200,10.7698102945798,1006.0,102.0,778.5,100.0,1589.25,999.5,24.474999904633,35.699999809265,1.08074362812229,Mid
2.9,1309.25,279,14.2669278159267,1125.25,181.0,844.25,103.0,1686.5,1183.0,8.1000000238419,56.75,0.614990776928446,High
-200.0,1197.25,-200,16.9524998870934,1208.5,207.0,656.0,162.0,1769.75,1305.5,38.025000572205,17.199999570847,1.12265015208152,High
0.5,776.0,-200,0.519861389423441,444.5,36.6,1459.75,34.1,737.25,330.25,1.3749999701977,53.75,0.36866015606293,Normal
0.5,757.0,-200,1.57330104145354,550.75,94.0,1295.25,51.0,966.75,453.0,14.925000190735,46.75,0.788506798628875,Mid
-200.0,891.25,-200,5.51898105425066,789.0,-200.0,960.0,-200.0,1233.75,521.75,21.625000476837,35.89999961853,0.916352812278475,Normal
-200.0,1069.25,-200,8.79460071056488,931.25,-200.0,688.25,-200.0,1507.5,1043.5,18.724999904633,73.424997329712,1.57014710986479,Normal
0.7,835.75,-200,4.6828924219133,747.25,51.0,961.0,59.0,1384.25,701.75,20.724999904633,45.874999046326,1.10879175332497,Mid
1.3,973.75,-200,8.75041120554129,929.5,104.0,872.0,97.0,1535.5,712.25,33.874999046326,21.300000190735,1.1067112010599,Mid
1.1,837.0,-200,3.68088469525248,692.75,26.0,1096.25,7.0,1178.25,584.0,15.425000190735,53.574999809265,0.932617066291475,Normal
1.0,848.5,-200,3.46567630209742,680.25,161.0,1014.5,111.4,741.25,461.0,11.949999809265,19.199999809265,0.267738881038597,High
4.3,1432.25,-200,18.3903112837345,1250.75,596.0,546.5,178.0,1396.25,1722.25,17.224999904633,34.22500038147,0.666923093073565,High
2.7,1287.5,-200,15.9701587982593,1178.75,167.0,717.25,150.0,1798.5,1074.25,32.35000038147,20.400000572205,0.973209495192057,High
1.6,1042.0,-200,7.86253774930266,893.5,95.0,915.75,109.0,1536.75,800.25,41.375,15.475000143051,1.20893807482165,High
1.7,1024.5,-200,9.60616640246024,962.75,106.0,841.75,95.0,1620.75,917.25,15.825000286102,56.199999809265,1.00326851731766,Mid
1.0,963.0,-200,3.65042314632486,691.0,127.5,856.5,89.4,1074.5,511.5,22.474999904633,32.925000190735,0.884584843236241,Mid
-200.0,1050.25,-200,8.57460323205029,922.5,-200.0,747.0,-200.0,1661.5,743.75,37.075000762939,27.924999237061,1.73087827601668,Normal
0.8,918.25,-200,4.1920614157232,721.25,57.0,1068.5,58.0,1353.25,784.75,13.775000095367,51.400000572205,0.805852409491054,Mid
4.6,1407.75,808,23.9983634247308,1403.5,241.0,646.25,154.0,1972.25,1462.5,19.324999809265,28.64999961853,0.635697758587812,High
1.9,1216.75,-200,8.54336913579044,921.25,256.6,589.0,153.6,1335.5,1261.25,13.450000286102,63.799999237061,0.97971398358451,High
2.0,1206.5,112,8.61841257653228,924.25,118.0,1087.75,102.0,1488.25,849.75,18.02499961853,34.800000190735,0.712673874194492,High
3.4,1468.75,372,18.4249455088345,1251.75,255.0,691.5,155.0,1903.25,1806.75,24.22500038147,33.849999904633,1.00965084289975,High
3.8,1029.0,-200,16.59465306614,1197.75,446.0,693.5,175.0,1305.0,1168.5,12.575000286102,30.199999809265,0.438445676520414,High
3.9,1509.5,233,19.290974886273,1276.5,206.0,812.25,149.0,1909.75,1409.5,15.149999856949,39.550000190735,0.676626507808505,High
-200.0,792.5,-200,2.74111479819173,635.5,62.0,1213.0,45.0,1194.75,514.25,20.575000286102,45.89999961853,1.09931823085668,Normal
4.4,1460.0,682,25.3322962083681,1437.5,260.0,680.25,196.0,1953.25,1488.75,30.0,19.400000095367,0.810046014408997,High
1.8,932.0,-200,11.3199460865874,1025.75,195.0,851.0,122.0,1523.25,943.75,33.400000572205,17.050000190735,0.862719544907903,High
0.9,829.75,-200,3.78614229055582,698.75,90.0,1011.75,54.0,1338.75,736.0,18.775000095367,59.474999427795,1.27576058148008,Mid
-200.0,971.0,-200,5.4569580235555,786.0,-200.0,811.5,-200.0,1086.0,796.25,12.0,49.324999809265,0.690049159218476,Normal
0.5,862.25,-200,3.41062949932106,677.0,96.0,973.0,43.0,1192.25,725.25,16.10000038147,69.325000762939,1.25914060795307,Normal
-200.0,1113.25,-200,5.17148002606528,772.0,-200.0,989.0,-200.0,1492.5,646.25,16.550000190735,56.099999427795,1.04808104882669,Normal
0.2,863.25,-200,2.54059604281136,622.25,96.7,1025.0,74.4,825.5,573.75,4.0999999046326,42.124999046326,0.348694827291963,Mid
3.5,1257.0,-200,13.7429334276884,1108.25,577.0,592.0,94.0,1520.0,1287.0,12.625000238419,78.400001525879,1.14188272481811,Mid
2.6,1098.75,-200,10.4276775923496,993.5,401.0,715.0,117.0,1163.75,1186.25,6.8499999046326,57.849999427795,0.576771467652163,High
6.3,1573.25,-200,28.2995410314548,1510.5,1044.0,531.25,172.0,1916.25,1926.75,13.75,68.475001335144,1.0718445182977,High
2.5,1102.75,-200,11.5887201950825,1035.25,110.0,672.0,111.0,1833.75,1004.5,31.525000572205,43.47500038147,1.97971222041922,High
2.1,1083.5,-200,12.3891620764281,1063.0,128.0,775.25,109.0,1702.5,1031.0,16.800000190735,53.574998855591,1.01667467864953,High
-200.0,883.0,-200,6.17184661480103,819.75,93.0,942.25,82.0,1413.25,593.5,32.625,22.500000476837,1.09011501788269,Mid
4.1,1423.25,-200,20.6262180544818,1313.75,501.0,508.25,89.0,1912.0,1466.0,20.799999713898,70.85000038147,1.72025901980359,Mid
1.5,1230.25,-200,10.3327252940897,990.0,151.0,652.25,71.0,1558.5,1111.25,24.025000095367,54.449999809265,1.60490398116754,Mid
1.1,1026.0,59,3.7905554594601,699.0,-200.0,1191.0,-200.0,1291.5,851.25,7.8749998807907,63.474999427795,0.677661480680029,Normal
2.1,1022.75,-200,11.767009701938,1041.5,132.0,795.5,101.0,1710.75,909.5,35.375,19.875,1.12221178890595,High
8.0,1744.0,-200,41.0490284837668,1792.5,820.0,352.25,136.0,2468.5,2006.5,20.025000095367,68.575000762939,1.58821826972683,High
2.1,1299.75,-200,8.88326424064764,934.75,170.0,902.25,113.0,1623.0,1144.75,13.75,58.025000572205,0.908269844101757,High
3.9,1377.0,-200,20.5807944704676,1312.5,191.0,611.5,109.0,2119.5,1219.5,18.349999904633,62.824999809265,1.31273431486777,High
2.7,1262.75,166,11.6456465597041,1037.25,216.0,969.0,143.0,1598.25,1166.5,14.325000047684,38.449999809265,0.62430429421539,High
-200.0,1233.5,-200,14.2746959239743,1125.5,104.0,644.0,104.0,1782.0,1251.75,30.125,30.224999904633,1.27108605685078,High
3.5,1266.0,-200,14.9970549641171,1148.5,559.0,527.5,255.0,1434.75,1370.0,6.125,73.974998474121,0.702488886670661,High
3.8,1324.75,-200,19.1498625538552,1272.5,211.0,716.25,145.0,1814.5,1183.5,25.925000190735,24.85000038147,0.819467346583955,High
1.7,1027.5,-200,6.02587372073616,813.0,-200.0,794.25,-200.0,1018.5,1075.75,3.9749999046326,69.525001525879,0.570605556123809,Normal
3.5,1166.5,-200,18.8252336963577,1263.25,338.0,640.25,113.0,1790.25,1212.25,23.025000095367,49.299999237061,1.36894709661871,High
1.3,871.75,-200,6.25358550502166,823.5,66.0,853.25,77.0,1345.5,590.0,27.025000095367,29.97500038147,1.05416418418732,Mid
2.5,1213.5,-200,12.8907394339276,1080.0,323.0,611.25,87.0,1641.5,1189.5,26.275000095367,43.72500038147,1.4717992130746,Mid
2.7,1072.25,-200,12.2141642946857,1057.0,150.0,811.75,92.0,1819.5,885.25,24.174999713898,39.224999427795,1.16650278524281,Mid
3.3,1381.75,-200,18.1056398289198,1242.5,183.0,631.5,128.0,1941.0,1511.0,19.199999809265,52.300000190735,1.15157881508184,High
1.4,1048.5,-200,5.53972177654787,790.0,221.0,869.75,96.0,1183.25,1018.75,15.350000143051,58.875000953674,1.02004078289194,Mid
1.5,1112.25,47,5.13625582872442,770.25,139.0,1228.0,77.0,1408.5,939.75,6.3499999046326,71.89999961853,0.693198558734372,Mid
0.9,895.0,-200,6.41843653094434,831.0,66.0,945.75,83.0,1473.0,566.25,31.224999904633,23.425000190735,1.04873180935671,Mid
0.8,949.0,-200,3.07211836275156,656.5,157.6,894.75,114.5,947.75,991.0,4.9750000238419,63.450001716614,0.557465613422748,High
1.9,1071.25,176,9.01058355260027,939.75,111.0,993.75,93.0,1449.25,756.25,17.624999761581,30.099999904633,0.601316730609264,Mid
2.2,1170.25,159,10.8388012617913,1008.5,126.0,879.0,106.0,1566.0,872.0,16.649999856949,35.625,0.669735641553321,High
4.7,1416.25,-200,20.1829097544612,1301.5,1120.0,526.0,278.0,1470.75,1826.25,13.400000095367,52.824998855591,0.808592254215825,High
